"date","river","site_code","parameter","value","unit"
"2019-09-25","","CH-R1","DOC_mgl","2.51","mg/L"
"2019-09-25","","CH-R1","TDN_mgl","0.51","mg N/L"
"2019-09-25","","CH-R1","NO3_mgl","0.21","mg N/L"
"2019-09-25","","CH-R1","NH4_mgl","0.021","mg N/L"
"2019-09-25","","CH-R1","PO4_ugl","3.08","µg P/L"
"2019-09-25","","CH-R1","Si_mgl","0.52","mg SiO2/L"
"2019-10-16","","CH-R1","water_temp","52.4","°F"
"2019-10-16","","CH-R1","DO%","90","% Saturation"
"2019-10-16","","CH-R1","DO","9.85","mg/L"
"2019-10-16","","CH-R1","Sp. Cond.","117.4","µS/cm"
"2019-10-16","","CH-R1","pH","6.2",""
"2019-10-16","","CH-R1","DOC_mgl","3.729","mg/L"
"2019-10-16","","CH-R1","TDN_mgl","0.3525","mg N/L"
"2019-10-16","","CH-R1","NO3_mgl","0.084164","mg N/L"
"2019-10-16","","CH-R1","NH4_mgl","0.041327","mg N/L"
"2019-10-16","","CH-R1","PO4_ugl","0.661435","µg P/L"
"2019-10-16","","CH-R1","Si_mgl","0.185003","mg SiO2/L"
"2019-11-15","","CH-R1","water_temp","42.4","°F"
"2019-11-15","","CH-R1","DO%","83.1","% Saturation"
"2019-11-15","","CH-R1","DO","10.41","mg/L"
"2019-11-15","","CH-R1","Sp. Cond.","116.9","µS/cm"
"2019-11-15","","CH-R1","pH","5.6",""
"2019-11-15","","CH-R1","DOC_mgl","2.94","mg/L"
"2019-11-15","","CH-R1","TDN_mgl","0.64","mg N/L"
"2019-11-15","","CH-R1","NO3_mgl","0.412","mg N/L"
"2019-11-15","","CH-R1","NH4_mgl","0.027","mg N/L"
"2019-11-15","","CH-R1","PO4_ugl","0.87","µg P/L"
"2019-11-15","","CH-R1","Si_mgl","0.45","mg SiO2/L"
"2019-12-19","","CH-R1","water_temp","34.6","°F"
"2019-12-19","","CH-R1","DO%","89.8","% Saturation"
"2019-12-19","","CH-R1","DO","12.6","mg/L"
"2019-12-19","","CH-R1","Sp. Cond.","113.5","µS/cm"
"2019-12-19","","CH-R1","pH","6.48",""
"2019-12-19","","CH-R1","DOC_mgl","3.883","mg/L"
"2019-12-19","","CH-R1","TDN_mgl","0.4285","mg N/L"
"2019-12-19","","CH-R1","NO3_mgl","0.228825","mg N/L"
"2019-12-19","","CH-R1","NH4_mgl","0.043977","mg N/L"
"2019-12-19","","CH-R1","PO4_ugl","0.771051","µg P/L"
"2019-12-19","","CH-R1","Si_mgl","0.220279","mg SiO2/L"
"2020-01-14","","CH-R1","water_temp","42.4","°F"
"2020-01-14","","CH-R1","DO%","76.1","% Saturation"
"2020-01-14","","CH-R1","DO","9.53","mg/L"
"2020-01-14","","CH-R1","Sp. Cond.","115.3","µS/cm"
"2020-01-14","","CH-R1","pH","5.88",""
"2020-01-14","","CH-R1","DOC_mgl","3.328","mg/L"
"2020-01-14","","CH-R1","TDN_mgl","0.7367","mg N/L"
"2020-01-14","","CH-R1","NO3_mgl","0.468458","mg N/L"
"2020-01-14","","CH-R1","NH4_mgl","0.047924","mg N/L"
"2020-01-14","","CH-R1","PO4_ugl","1.071897","µg P/L"
"2020-01-14","","CH-R1","Si_mgl","0.332135","mg SiO2/L"
"2020-02-20","","CH-R1","water_temp","36.2","°F"
"2020-02-20","","CH-R1","DO%","93.6","% Saturation"
"2020-02-20","","CH-R1","DO","12.83","mg/L"
"2020-02-20","","CH-R1","Sp. Cond.","118.3","µS/cm"
"2020-02-20","","CH-R1","pH","6.1",""
"2020-02-20","","CH-R1","DOC_mgl","1.873","mg/L"
"2020-02-20","","CH-R1","TDN_mgl","0.5278","mg N/L"
"2020-02-20","","CH-R1","NO3_mgl","0.4578","mg N/L"
"2020-02-20","","CH-R1","NH4_mgl","0.0172","mg N/L"
"2020-02-20","","CH-R1","PO4_ugl","1.5612","µg P/L"
"2020-02-20","","CH-R1","Si_mgl","0.2518","mg SiO2/L"
"2020-05-26","","CH-R1","water_temp","62.9","°F"
"2020-05-26","","CH-R1","DO%","77.6","% Saturation"
"2020-05-26","","CH-R1","DO","7.47","mg/L"
"2020-05-26","","CH-R1","Sp. Cond.","136.8","µS/cm"
"2020-05-26","","CH-R1","DOC_mgl","4.132","mg/L"
"2020-05-26","","CH-R1","TDN_mgl","3.077","mg N/L"
"2020-05-26","","CH-R1","NO3_mgl","2.514","mg N/L"
"2020-05-26","","CH-R1","NH4_mgl","0.008","mg N/L"
"2020-05-26","","CH-R1","PO4_ugl","1.3681","µg P/L"
"2020-05-26","","CH-R1","Si_mgl","0.457","mg SiO2/L"
"2020-06-11","","CH-R1","water_temp","60","°F"
"2020-06-11","","CH-R1","DO%","70.4","% Saturation"
"2020-06-11","","CH-R1","DO","7.01","mg/L"
"2020-06-11","","CH-R1","Sp. Cond.","139.2","µS/cm"
"2020-06-11","","CH-R1","pH","5.2",""
"2020-06-11","","CH-R1","DOC_mgl","2.931","mg/L"
"2020-06-11","","CH-R1","TDN_mgl","2.839","mg N/L"
"2020-06-11","","CH-R1","NO3_mgl","2.69","mg N/L"
"2020-06-11","","CH-R1","NH4_mgl","0.017","mg N/L"
"2020-06-11","","CH-R1","PO4_ugl","0.179","µg P/L"
"2020-06-11","","CH-R1","Si_mgl","0.5577","mg SiO2/L"
"2020-07-07","","CH-R1","water_temp","59.4","°F"
"2020-07-07","","CH-R1","DO%","64.2","% Saturation"
"2020-07-07","","CH-R1","DO","6.45","mg/L"
"2020-07-07","","CH-R1","Sp. Cond.","140.7","µS/cm"
"2020-07-07","","CH-R1","pH","4.86",""
"2020-07-21","","CH-R1","water_temp","59.4","°F"
"2020-07-21","","CH-R1","DO%","53.5","% Saturation"
"2020-07-21","","CH-R1","DO","5.37","mg/L"
"2020-07-21","","CH-R1","Sp. Cond.","144.1","µS/cm"
"2020-07-21","","CH-R1","pH","6.5",""
"2020-07-21","","CH-R1","DOC_mgl","3.3","mg/L"
"2020-07-21","","CH-R1","TDN_mgl","3.231","mg N/L"
"2020-07-21","","CH-R1","NO3_mgl","2.6172","mg N/L"
"2020-07-21","","CH-R1","NH4_mgl","0.0467","mg N/L"
"2020-07-21","","CH-R1","Si_mgl","0.323","mg SiO2/L"
"2020-08-07","","CH-R1","water_temp","62.9","°F"
"2020-08-07","","CH-R1","DO%","63.3","% Saturation"
"2020-08-07","","CH-R1","DO","6.1","mg/L"
"2020-08-07","","CH-R1","Sp. Cond.","144.9","µS/cm"
"2020-08-07","","CH-R1","pH","5.34",""
"2020-08-07","","CH-R1","DOC_mgl","1.6","mg/L"
"2020-08-07","","CH-R1","TDN_mgl","2.783","mg N/L"
"2020-08-07","","CH-R1","NO3_mgl","2.5629","mg N/L"
"2020-08-07","","CH-R1","NH4_mgl","0.0389","mg N/L"
"2020-08-07","","CH-R1","PO4_ugl","1.3746","µg P/L"
"2020-08-07","","CH-R1","Si_mgl","0.3778","mg SiO2/L"
"2020-08-20","","CH-R1","water_temp","62.3","°F"
"2020-08-20","","CH-R1","DO%","59","% Saturation"
"2020-08-20","","CH-R1","DO","5.72","mg/L"
"2020-08-20","","CH-R1","Sp. Cond.","133.8","µS/cm"
"2020-08-20","","CH-R1","pH","5.56",""
"2020-08-20","","CH-R1","DOC_mgl","1.952","mg/L"
"2020-08-20","","CH-R1","TDN_mgl","1.955","mg N/L"
"2020-08-20","","CH-R1","NO3_mgl","1.9771","mg N/L"
"2020-08-20","","CH-R1","NH4_mgl","0.05","mg N/L"
"2020-08-20","","CH-R1","PO4_ugl","1.643","µg P/L"
"2020-08-20","","CH-R1","Si_mgl","0.3413","mg SiO2/L"
"2020-09-04","","CH-R1","water_temp","65.7","°F"
"2020-09-04","","CH-R1","DO%","63","% Saturation"
"2020-09-04","","CH-R1","DO","5.88","mg/L"
"2020-09-04","","CH-R1","Sp. Cond.","113.6","µS/cm"
"2020-09-04","","CH-R1","pH","5.61",""
"2020-09-04","","CH-R1","DOC_mgl","1.895","mg/L"
"2020-09-04","","CH-R1","TDN_mgl","1.091","mg N/L"
"2020-09-04","","CH-R1","NO3_mgl","0.8885","mg N/L"
"2020-09-04","","CH-R1","NH4_mgl","0.1062","mg N/L"
"2020-09-04","","CH-R1","PO4_ugl","1.4816","µg P/L"
"2020-09-04","","CH-R1","Si_mgl","0.5655","mg SiO2/L"
"2021-04-04","","CH-R1","water_temp","55.7","°F"
"2021-04-04","","CH-R1","DO%","77.9","% Saturation"
"2021-04-04","","CH-R1","DO","8.17","mg/L"
"2021-04-04","","CH-R1","Sp. Cond.","91.7","µS/cm"
"2021-04-04","","CH-R1","pH","5.68",""
"2021-04-04","","CH-R1","DOC_mgl","3.289","mg/L"
"2021-04-04","","CH-R1","TDN_mgl","0.6073","mg N/L"
"2021-04-04","","CH-R1","NO3_mgl","0.413168","mg N/L"
"2021-04-04","","CH-R1","NH4_mgl","0.007788","mg N/L"
"2021-04-04","","CH-R1","PO4_ugl","1.302576","µg P/L"
"2021-04-04","","CH-R1","Si_mgl","0.440311","mg SiO2/L"
"2021-04-18","","CH-R1","water_temp","58.9","°F"
"2021-04-18","","CH-R1","DO%","89.2","% Saturation"
"2021-04-18","","CH-R1","DO","9","mg/L"
"2021-04-18","","CH-R1","Sp. Cond.","95.3","µS/cm"
"2021-04-18","","CH-R1","pH","5.62",""
"2021-04-18","","CH-R1","DOC_mgl","2.908","mg/L"
"2021-04-18","","CH-R1","TDN_mgl","0.6848","mg N/L"
"2021-04-18","","CH-R1","NO3_mgl","0.57132","mg N/L"
"2021-04-18","","CH-R1","NH4_mgl","0.006063614","mg N/L"
"2021-04-18","","CH-R1","PO4_ugl","2.1544","µg P/L"
"2021-04-18","","CH-R1","Si_mgl","0.321","mg SiO2/L"
"2021-05-02","","CH-R1","water_temp","62.6","°F"
"2021-05-02","","CH-R1","DO%","85.3","% Saturation"
"2021-05-02","","CH-R1","DO","8.24","mg/L"
"2021-05-02","","CH-R1","Sp. Cond.","98.5","µS/cm"
"2021-05-02","","CH-R1","pH","5.54",""
"2021-05-02","","CH-R1","DOC_mgl","3.893","mg/L"
