Long,Lat,dataset,NO3
-71.3890868,42.6253944,WPP,0.306
-70.9427296,42.7350352,WPP,1.94
-71.1967182,42.3900984,WPP,0.33
-71.0387409,42.4958058,WPP,0.244
-71.5179405,42.347696,WPP,0.114
-70.9747374,42.6339232,WPP,0.25
-71.2407158,42.5017852,WPP,0.037
-71.1439954,42.6971169,WPP,0.318
-71.5654205,42.4768312,WPP,0.17666666666666667
-71.5704097,42.4356962,WPP,0.096
-71.0962545,42.5718288,WPP,0.094
-71.4134214,42.5267785,WPP,0.295
-71.6885308,42.2910744,WPP,0.432
-71.5061583,42.6297304,WPP,0.34
-71.3654398,42.1217687,WPP,0.07
-71.6512886,42.2871321,WPP,0.5680000000000001
-70.9840121,42.8261109,WPP,0.45
-71.3263353,42.6681776,WPP,0.252
-71.4475714,42.5975906,WPP,0.096
-71.2559826,42.494062,WPP,0.14250000000000002
-71.3955834,42.3193238,WPP,0.035
-71.3758224,42.1870159,WPP,0.109
-71.1509714,42.6521945,WPP,0.33
-71.487647,42.700651,WPP,0.08033333333333334
-71.551697,42.444418,WPP,0.14500000000000002
-71.021129,42.618394,WPP,0.0815
-70.904624,42.733424,WPP,0.17500000000000002
-71.658249,42.398058,WPP,0.19666666666666668
-71.435293,42.3248507,WPP,0.16999999999999998
-72.92619955,42.32285317,WPP,0.0525
-72.94065317,42.0385568,WPP,0.0525
-72.91837725,42.04200482,WPP,0.075
-72.59477377,42.72088383,WPP,0.1125
-71.04277391,41.99230816,WPP,0.162
-71.12591191,42.01901335,WPP,0.378
-70.97075555,41.99502786,WPP,0.18
-71.13417172,41.9780221,WPP,0.1408
-71.16118832,41.98177507,WPP,0.514
-70.88343597,41.96932455,WPP,0.189
-71.16067131,41.946818,WPP,0.2014
-70.96826996,41.94881614,WPP,2.2
-71.13593516,41.83523239,WPP,0.482
-72.45189591,42.70281576,WPP,0.241
-72.66169041,42.5098257,WPP,0.6275
-72.60513286,42.48176265,WPP,0.5775
-72.49492563,42.37683842,WPP,0.206
-72.51258326,42.41550849,WPP,0.206
-72.5850062,42.38339502,WPP,0.243
-72.4252915,42.28071001,WPP,0.212
-72.57541581,42.27820079,WPP,0.16275
-72.58708557,42.28230014,WPP,1.155
-72.65403879,42.27748219,WPP,0.35
-72.59514866,42.21396566,WPP,1.35
-72.58070026,42.07465812,WPP,0.7925
-72.5674643,42.41118008,WPP,1.0725
-72.59779736,42.19157879,WPP,1.525
-71.8181233,42.44662969,WPP,0.046
-71.72624143,42.61760369,WPP,0.1125
-71.75177322,42.70288914,WPP,0.18
-71.02018566,42.62248944,WPP,0.2075
-70.90371136,42.66074776,WPP,0.1005
-72.94213827,42.03883587,WPP,0.08750000000000001
-72.942020779999993,42.03904812,WPP,0.169
-73.47506697,42.08930109,WPP,0.1815
-71.20083966,41.94672655,WPP,0.1498
-72.39305406,42.62069634,WPP,0.08
-72.46510155,42.38033448,WPP,0.2325
-72.49190917,42.44704256,WPP,0.15333333333333332
-72.45260735,42.45007437,WPP,0.2915
-72.15673762,42.46777728,WPP,0.042
-72.04115765,42.43953233,WPP,0.0675
-72.04487072,42.20154773,WPP,0.04
-72.09627321,42.05048837,WPP,0.0485
-71.7950707,42.07493076,WPP,0.04725
-71.65201157,42.04529263,WPP,0.0845
-71.62720825,42.18795491,WPP,0.22
-72.998461,42.51804,WPP,0.06275
-72.99462504,42.44139459,WPP,0.08175
-73.1068034,42.33220916,WPP,0.06974999999999999
-71.2424628,41.95851534,WPP,0.43666666666666665
-71.07593377,41.77800443,WPP,0.07975
-70.76850844,42.18764862,WPP,0.14500000000000002
-70.83275,42.19862254,WPP,0.11
-71.092186,41.508049,BBC,0.3963981
