dataset,Lat,Long,NO3
DWMWPP,42.2422342,-70.85910564,0.6333333333333333
DWMWPP,41.8814227,-70.90942651,0.028
DWMWPP,41.72740826,-70.85635593,0.2125
DWMWPP,41.8647818,-71.22918554,0.134
DWMWPP,42.08658274,-70.75694672,0.49333333333333335
DWMWPP,41.9325177,-71.07757733,0.278
DWMWPP,42.42130109,-71.16909401,0.7
DWMWPP,42.00502696,-71.21344675,0.49777777777777776
DWMWPP,42.19947614,-70.86206928,0.6
DWMWPP,41.63338435,-70.98602228,0.19
DWMWPP,41.99746222,-70.95386851,1.1222222222222222
DWMWPP,42.0754278,-71.00963849,1.1425
DWMWPP,41.94945845,-71.17552595,0.18
DWMWPP,41.83058753,-71.32993703,0.2825
DWMWPP,42.706137,-71.751964,0.05571428571428571
DWMWPP,42.664623,-71.753811,0.09729411764705882
DWMWPP,41.562812,-71.133855,0.1483846153846154
DWMWPP,41.77444,-71.08528,0.02
DWMWPP,42.00792,-71.70506,0.1457058823529412
DWMWPP,42.71500304,-72.66972243,0.05761538461538462
DWMWPP,42.30007646,-72.98439297,0.16
DWMWPP,42.55286755,-72.51950306,0.022
DWMWPP,42.33802189,-72.55536786,0.45
DWMWPP,42.2526325,-72.05643235,0.12
DWMWPP,42.47216953,-72.25680238,0.034
DWMWPP,42.05933009,-72.27160475,0.12
DWMWPP,42.0373016,-72.69990551,0.926
DWMWPP,42.2036239,-72.00426939,0.022
DWMWPP,42.26076443,-72.81803592,0.03
DWMWPP,42.47653586,-72.51860357,0.128
DWMWPP,42.38732571,-72.37351445,0.072
DWMWPP,42.27003392,-72.594205,0.19
DWMWPP,41.77254787,-71.08494839,0.03314285714285714
DWMWPP,42.616929,-70.9964121,0.09
DWMWPP,42.5943564,-71.3406697,0.1318
DWMWPP,42.2247791,-71.4776709,0.246
DWMWPP,42.1049813,-71.4584048,1.78
DWMWPP,42.6718435,-71.3444481,0.276
DWMWPP,42.4276412,-71.4854492,0.246
DWMWPP,42.8659286,-70.9615914,0.044
DWMWPP,42.2532139,-71.56727,0.156
DWMWPP,42.3049376,-71.2338344,2.126
DWMWPP,42.5790278,-70.9915364,0.094
DWMWPP,42.6253944,-71.3890868,0.306
DWMWPP,42.7350352,-70.9427296,1.94
DWMWPP,42.3900984,-71.1967182,0.336
DWMWPP,42.4958058,-71.0387409,0.244
DWMWPP,42.347696,-71.5179405,0.114
DWMWPP,42.6339232,-70.9747374,0.224
DWMWPP,42.5017852,-71.2407158,0.037
DWMWPP,42.6971169,-71.1439954,0.318
DWMWPP,42.4768312,-71.5654205,0.17
DWMWPP,42.4356962,-71.5704097,0.096
DWMWPP,42.5718288,-71.0962545,0.094
DWMWPP,42.5267785,-71.4134214,0.295
DWMWPP,42.2910744,-71.6885308,0.432
DWMWPP,42.6297304,-71.5061583,0.34
DWMWPP,42.1217687,-71.3654398,0.07
DWMWPP,42.2871321,-71.6512886,0.5680000000000001
DWMWPP,42.8261109,-70.9840121,0.444
DWMWPP,42.6681776,-71.3263353,0.252
DWMWPP,42.5975906,-71.4475714,0.096
DWMWPP,42.494062,-71.2559826,0.14250000000000002
DWMWPP,42.3193238,-71.3955834,0.102
DWMWPP,42.1870159,-71.3758224,0.109
DWMWPP,42.6521945,-71.1509714,0.33
DWMWPP,42.6091843,-71.411679,0.234
DWMWPP,42.700651,-71.487647,0.08033333333333334
DWMWPP,42.444418,-71.551697,0.14500000000000002
DWMWPP,42.618394,-71.021129,0.0815
DWMWPP,42.733424,-70.904624,0.17500000000000002
DWMWPP,42.398058,-71.658249,0.19666666666666668
DWMWPP,42.34376837,-72.95334229,0.06525
DWMWPP,42.3248507,-71.435293,0.16999999999999998
DWMWPP,42.32285317,-72.92619955,0.05
DWMWPP,42.0385568,-72.94065317,0.072
DWMWPP,42.04200482,-72.91837725,0.07
DWMWPP,42.72088383,-72.59477377,0.1125
DWMWPP,41.99230816,-71.04277391,0.162
DWMWPP,42.01901335,-71.12591191,0.378
DWMWPP,41.99502786,-70.97075555,0.1726
DWMWPP,41.9780221,-71.13417172,0.1408
DWMWPP,41.98177507,-71.16118832,0.514
DWMWPP,41.96932455,-70.88343597,0.189
DWMWPP,41.946818,-71.16067131,0.2014
DWMWPP,41.94881614,-70.96826996,3.94
DWMWPP,41.83523239,-71.13593516,0.482
DWMWPP,42.70281576,-72.45189591,0.241
DWMWPP,42.5098257,-72.66169041,0.652
DWMWPP,42.48176265,-72.60513286,0.61
DWMWPP,42.37683842,-72.49492563,0.206
DWMWPP,42.41550849,-72.51258326,0.2188
DWMWPP,42.38339502,-72.5850062,0.2864
DWMWPP,42.28071001,-72.4252915,0.212
DWMWPP,42.27820079,-72.57541581,0.17020000000000002
DWMWPP,42.28230014,-72.58708557,1.096
DWMWPP,42.27748219,-72.65403879,0.36
DWMWPP,42.21396566,-72.59514866,1.36
DWMWPP,42.07465812,-72.58070026,0.834
DWMWPP,42.41118008,-72.5674643,1.118
DWMWPP,42.19157879,-72.59779736,1.54
DWMWPP,42.44662969,-71.8181233,0.149
DWMWPP,42.61760369,-71.72624143,0.1125
DWMWPP,42.70288914,-71.75177322,0.145
DWMWPP,42.62248944,-71.02018566,0.2075
DWMWPP,42.66074776,-70.90371136,0.1005
DWMWPP,42.03883587,-72.94213827,0.08750000000000001
DWMWPP,42.03904812,-72.942020779999993,0.169
